Symbol,Description,Price,Price - Currency,"Dividend yield %, Trailing 12 months","Dividends per share, Annual","Dividends per share, Annual - Currency",Sector
NVDA,NVIDIA Corporation,190.263,USD,0.0208822761681023,0.034,USD,Electronic technology
AAPL,Apple Inc.,274.35,USD,0.386956195055977,1.02,USD,Electronic technology
GOOG,Alphabet Inc.,308.415,USD,0.266290224261285,0.83,USD,Technology services
MSFT,Microsoft Corporation,388.29,USD,0.884334278357219,3.32,USD,Technology services
AMZN,"Amazon.com, Inc.",206.559,USD,0,0,USD,Retail trade
META,"Meta Platforms, Inc.",636.68,USD,0.329540996469204,2.1,USD,Technology services
AVGO,Broadcom Inc.,323.5251,USD,0.732578555427741,2.36,USD,Electronic technology
TSLA,"Tesla, Inc.",403.513,USD,0,0,USD,Consumer durables
BRK.A,Berkshire Hathaway Inc.,735999,USD,0,0,USD,Finance
WMT,Walmart Inc.,126.165,USD,0.747158413480645,0.94,USD,Retail trade
LLY,Eli Lilly and Company,1039.68,USD,0.566807738814994,6,USD,Health technology
JPM,JP Morgan Chase & Co.,296.3805,USD,1.94846642254846,5.8,USD,Finance
XOM,Exxon Mobil Corporation,148.89,USD,2.65322366675511,4,USD,Energy minerals
JNJ,Johnson & Johnson,246.16,USD,2.09079075821673,5.14,USD,Health technology
V,Visa Inc.,307.43,USD,0.796032885292966,2.36,USD,Finance
MU,"Micron Technology, Inc.",429.3716,USD,0.109271444520987,0.46,USD,Electronic technology
MA,Mastercard Incorporated,494.04,USD,0.635042235348668,3.15,USD,Finance
COST,Costco Wholesale Corporation,989.79,USD,0.527372669925559,4.92,USD,Retail trade
ORCL,Oracle Corporation,145,USD,1.41532800226452,1.7,USD,Technology services
ORCL/PD,"Oracle Corporation Depositary Shares, each representing a 1/2,000th interest in a sh of 6.50% Series D Mandatory Convertible Preferred Stock",45.8587,USD,1.41532800226452,1.7,USD,Technology services
ABBV,AbbVie Inc.,229.35,USD,2.89785602231131,6.65,USD,Health technology
HD,"Home Depot, Inc. (The)",391.81,USD,2.44038303403273,9,USD,Retail trade
PG,Procter & Gamble Company (The),164.98,USD,2.55930253678029,4.0763,USD,Consumer non-durables
CVX,Chevron Corporation,184.55,USD,3.69909685793089,6.84,USD,Energy minerals
BAC,Bank of America Corporation,50.34,USD,2.11474446837674,1.08,USD,Finance
CAT,"Caterpillar, Inc.",764.69,USD,0.78522611603897,5.94,USD,Producer manufacturing
GE,GE Aerospace,333.9,USD,0.424791291778518,1.44,USD,Electronic technology
KO,Coca-Cola Company (The),80.165,USD,2.53227408142999,2.04,USD,Consumer non-durables
AMD,"Advanced Micro Devices, Inc.",208.36,USD,0,0,USD,Electronic technology
BABA,Alibaba Group Holding Limited,151.29,USD,0.674172012043461,1.03,USD,Retail trade
NFLX,"Netflix, Inc.",76.775,USD,0,0,USD,Technology services
PLTR,Palantir Technologies Inc.,129.66,USD,0,0,USD,Technology services
CSCO,"Cisco Systems, Inc.",78.19,USD,2.1095960895292,1.62,USD,Electronic technology
MRK,"Merck & Company, Inc.",123.135,USD,2.64900662251656,3.28,USD,Health technology
LRCX,Lam Research Corporation,244.2401,USD,0.404507367812771,0.92,USD,Producer manufacturing
AMAT,"Applied Materials, Inc.",375.28,USD,0.476509168785972,1.78,USD,Producer manufacturing
PM,Philip Morris International Inc,186.52,USD,3.01249866467258,5.64,USD,Consumer non-durables
GS,"Goldman Sachs Group, Inc. (The)",903.12,USD,1.56896145958243,14,USD,Finance
RTX,RTX Corporation,197.95,USD,1.3223058637084,2.67,USD,Electronic technology
MS,Morgan Stanley,167.3,USD,2.3531175059952,3.85,USD,Finance
WFC,Wells Fargo & Company,83.84,USD,1.99647680563711,1.7,USD,Finance
UNH,UnitedHealth Group Incorporated,277.265,USD,3.09201671743288,8.73,USD,Health services
TMUS,"T-Mobile US, Inc.",221.42,USD,1.66401454876108,3.66,USD,Communications
MCD,McDonald's Corporation,334.9219,USD,2.14311334289813,7.17,USD,Consumer services
LIN,Linde plc,497.9357,USD,1.20435978241233,6,USD,Process industries
PEP,"PepsiCo, Inc.",168.89,USD,3.34036359315589,5.6225,USD,Consumer non-durables
GEV,GE Vernova Inc.,850.51,USD,0.150294577371648,0.75,USD,Producer manufacturing
INTC,Intel Corporation,44.35,USD,0,0,USD,Electronic technology
AXP,American Express Company,320.4,USD,1.02104345660565,3.28,USD,Finance
IBM,International Business Machines Corporation,233.62,USD,3.00425341392433,6.71,USD,Technology services
VZ,Verizon Communications Inc.,49.74,USD,5.50523349436393,2.735,USD,Communications
AMGN,Amgen Inc.,381.39,USD,2.50909282589215,9.52,USD,Health technology
TXN,Texas Instruments Incorporated,220.72,USD,2.52888201582825,5.5,USD,Electronic technology
ABT,Abbott Laboratories,114.9,USD,2.08170699973979,2.4,USD,Health technology
T,AT&T Inc.,28.43,USD,3.89200561009818,1.11,USD,Communications
KLAC,KLA Corporation,1515.485,USD,0.49742548700644,6.75,USD,Electronic technology
NEE,"NextEra Energy, Inc.",94.36,USD,2.40910057410164,2.266,USD,Utilities
TMO,Thermo Fisher Scientific Inc,518.03,USD,0.333049337773991,1.72,USD,Health technology
C,"Citigroup, Inc.",110.78,USD,2.09480812641084,2.32,USD,Finance
C/PR,"Citigroup Inc. Depositary Shares, Each Representing a 1/1,000th Interest in a Share of 6.250% Noncumulative Preferred Stock, Series II",25.41,USD,2.09480812641084,2.32,USD,Finance
DIS,Walt Disney Company (The),105.83,USD,1.19720333301408,1,USD,Consumer services
BA,Boeing Company (The),234.69,USD,0,0,USD,Electronic technology
GILD,"Gilead Sciences, Inc.",148.5,USD,2.10905693118868,3.16,USD,Health technology
APH,Amphenol Corporation,146.915,USD,0.503991340819916,0.745,USD,Electronic technology
ADI,"Analog Devices, Inc.",360.875,USD,1.11502182176545,3.89,USD,Electronic technology
ISRG,"Intuitive Surgical, Inc.",495.06,USD,0,0,USD,Health technology
TJX,"TJX Companies, Inc. (The)",157.9,USD,1.04635677595282,1.5,USD,Retail trade
DE,Deere & Company,645.45,USD,1.00179333374559,6.48,USD,Producer manufacturing
BLK,"BlackRock, Inc.",1068.195,USD,1.94582683635073,20.84,USD,Finance
CRM,"Salesforce, Inc.",185.06,USD,0.933991917377638,1.6,USD,Technology services
