Symbol,Description,Price,Price - Currency,"Dividend yield %, Trailing 12 months","Dividends per share, Annual","Dividends per share, Annual - Currency",Sector
7203,Toyota Motor Corp.,3656,JPY,2.61348005502063,90,JPY,Consumer durables
8306,"Mitsubishi UFJ Financial Group, Inc.",2888,JPY,2.51529571719918,64,JPY,Finance
9984,SoftBank Group Corp.,4096,JPY,0.254100254100254,11,JPY,Communications
8316,"Sumitomo Mitsui Financial Group, Inc.",5808,JPY,2.34781150427637,122,JPY,Finance
6501,"Hitachi, Ltd.",4813,JPY,0.912778904665314,43,JPY,Producer manufacturing
9983,"FAST RETAILING CO., LTD.",66850,JPY,0.746714456391876,500,JPY,Retail trade
6758,Sony Group Corporation,3306,JPY,0.674460431654676,20,JPY,Electronic technology
8035,Tokyo Electron Ltd.,44380,JPY,1.34440400363967,592,JPY,Producer manufacturing
8058,Mitsubishi Corporation,5132,JPY,2.10378681626928,100,JPY,Distribution services
8411,"Mizuho Financial Group, Inc.",6930,JPY,2.05574912891986,140,JPY,Finance
6857,Advantest Corp.,26620,JPY,0.19234543670265,39,JPY,Electronic technology
8001,Itochu Corporation,2192.5,JPY,1.82440136830103,40,JPY,Distribution services
7011,"Mitsubishi Heavy Industries, Ltd.",4811,JPY,0.483383685800604,23,JPY,Producer manufacturing
4519,"Chugai Pharmaceutical Co., Ltd.",10100,JPY,2.73917421953676,272,JPY,Health technology
8031,"Mitsui & Co.,Ltd",5555,JPY,1.90735694822888,100,JPY,Process industries
6861,Keyence Corporation,63740,JPY,0.732541103695263,350,JPY,Electronic technology
9432,NTT Inc,150.8,JPY,3.47682119205298,5.2,JPY,Communications
8766,"Tokio Marine Holdings, Inc.",6340,JPY,3.03474903474903,172,JPY,Finance
6503,Mitsubishi Electric Corp.,5916,JPY,0.94017094017094,50,JPY,Producer manufacturing
4063,Shin-Etsu Chemical Co Ltd,5930,JPY,1.84347826086957,106,JPY,Process industries
285A,Kioxia Holdings Corporation,22270,JPY,0,0,JPY,Electronic technology
7182,"Japan Post Bank Co., Ltd.",3046,JPY,1.89914865749836,58,JPY,Finance
2914,Japan Tobacco Inc.,5980,JPY,3.97081282877991,234,JPY,Consumer non-durables
9434,SoftBank Corp.,209,JPY,4.0952380952381,8.6,JPY,Communications
7974,"Nintendo Co., Ltd.",8541,JPY,1.47897985326657,120,JPY,Consumer durables
9433,KDDI Corporation,2620,JPY,2.96253822629969,72.5,JPY,Communications
8002,Marubeni Corporation,5798,JPY,1.75131348511384,95,JPY,Process industries
7741,HOYA CORPORATION,29100,JPY,0.871301506625522,160,JPY,Health technology
4502,Takeda Pharmaceutical Co. Ltd.,5818,JPY,3.41968911917098,196,JPY,Health technology
6098,"Recruit Holdings Co., Ltd.",6163,JPY,0.389879057924889,24,JPY,Technology services
6146,Disco Corporation,75620,JPY,0.564407237375101,413,JPY,Producer manufacturing
8053,Sumitomo Corporation,6327,JPY,2.11532434973363,130,JPY,Distribution services
5802,"Sumitomo Electric Industries, Ltd.",10390,JPY,1.13869511694707,97,JPY,Producer manufacturing
8015,Toyota Tsusho Corp.,6969,JPY,1.67780252412769,105,JPY,Distribution services
6301,Komatsu Ltd.,7517,JPY,2.67868982893515,190,JPY,Producer manufacturing
6981,"Murata Manufacturing Co., Ltd.",4045,JPY,1.63265306122449,57,JPY,Electronic technology
6702,Fujitsu Limited,3313,JPY,0.798898071625344,28,JPY,Technology services
8267,"AEON Co., Ltd.",2320.5,JPY,0.580972854030487,13.33332,JPY,Retail trade
8725,"MS&AD Insurance Group Holdings, Inc.",4231,JPY,2.5462962962963,100,JPY,Finance
5803,Fujikura Ltd,25190,JPY,0.705240174672489,100,JPY,Producer manufacturing
7267,"Honda Motor Co., Ltd.",1543,JPY,4.47180816591056,68,JPY,Consumer durables
6201,Toyota Industries Corp.,20200,JPY,0.693069306930693,280,JPY,Producer manufacturing
6902,DENSO CORPORATION,2223,JPY,2.88939051918736,64,JPY,Producer manufacturing
8802,"Mitsubishi Estate Company, Limited",5059,JPY,0.884260168991943,43,JPY,Finance
6178,"JAPAN POST HOLDINGS Co., Ltd.",2039,JPY,2.48508946322068,50,JPY,Finance
6954,Fanuc Corporation,6542,JPY,1.57623423142813,94.39,JPY,Producer manufacturing
6752,Panasonic Holdings Corporation,2459,JPY,1.91196972714599,48,JPY,Consumer durables
8591,ORIX Corporation,5402,JPY,2.80221811460259,120.01,JPY,Finance
8801,"Mitsui Fudosan Co., Ltd.",2060.5,JPY,1.58197507190796,31,JPY,Finance
6367,"DAIKIN INDUSTRIES, LTD.",20465,JPY,1.57121135326913,330,JPY,Producer manufacturing
